county_fips,state_po,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2022,"Less than high school graduate, 2019-23","High school graduate (or equivalency), 2019-23","Some college or associate degree, 2019-23","Bachelor's degree or higher, 2019-23",CENSUS_2020_POP,"Joseph Biden Votes, 2020","Donald Trump Votes, 2020","Jo Jorgensen Votes, 2020","Green Party Votes, 2020","Other Votes, 2020","Total Votes, 2020"
48489,7,6584,5795,789,12,41648,4172,4476,2706,1575,20164,3108,2441,0,0,0,5549
48491,7,323000,304159,18841,5.8,101891,25456,77360,126441,206612,609017,143795,139729,4998,790,243,289555
48493,7,24370,22973,1397,5.7,79432,3674,10747,11644,9288,49753,6350,18463,151,39,10,25013
48495,7,3961,3587,374,9.4,69775,1229,1685,1313,470,7791,358,1753,14,1,0,2126
48497,7,32090,29988,2102,6.6,80096,6545,16507,15823,10110,68632,4973,27032,310,47,3,32365
48499,7,17815,16633,1182,6.6,57504,4482,10640,11122,7515,44843,3509,19049,175,40,6,22779
48501,7,3501,3081,420,12,62748,1092,1360,1409,639,7694,420,2174,31,6,0,2631
48503,7,7724,7316,408,5.3,58297,1322,4048,4144,2936,17867,1034,7110,76,18,1,8239
48505,7,4664,4093,571,12.2,39403,2855,2323,1711,1055,13889,1826,2033,11,4,0,3874
48507,7,3388,2904,484,14.3,36237,1519,1884,1758,545,9670,2864,1490,13,12,0,4379
