county_fips,state_po,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2022,"Less than high school graduate, 2019-23","High school graduate (or equivalency), 2019-23","Some college or associate degree, 2019-23","Bachelor's degree or higher, 2019-23",CENSUS_2020_POP,"Joseph Biden Votes, 2020","Donald Trump Votes, 2020","Jo Jorgensen Votes, 2020","Green Party Votes, 2020","Other Votes, 2020","Total Votes, 2020"
36051,1,30352,28277,2075,6.8,75077,3096,13073,12778,12762,61834,12477,18182,460,128,409,31656
36053,1,33052,30557,2495,7.5,69851,3096,15575,14498,12910,68016,14807,18408,476,185,390,34266
36055,1,366956,336893,30063,8.2,68169,43279,120443,145810,216673,759443,225746,145661,4865,1529,5698,383499
36057,1,22517,20618,1899,8.4,58176,3928,12119,11159,7022,49532,7977,12745,242,87,195,21246
36059,1,712663,655369,57294,8,135528,76343,204149,218016,473504,1395774,396504,326716,3594,1924,9631,738369
36061,1,896451,811056,85395,9.5,95514,136464,148866,168389,806709,1694251,603040,85185,3329,2694,7157,701405
36063,1,99542,89502,10040,10.1,63565,12145,49424,49444,41401,212666,46029,56068,1133,371,1265,104866
36065,1,102757,94725,8032,7.8,63894,17606,47867,49454,44142,232125,41567,57180,1184,388,1377,101696
36067,1,224981,206935,18046,8,70939,26811,79231,94871,123843,476516,138894,90619,2554,1820,1799,235686
36069,1,55882,51990,3892,7,76601,5376,20867,24368,29943,112458,29025,29039,987,277,757,60085
36071,1,187228,172265,14963,8,88532,26700,72466,76077,83389,401310,84684,84996,1388,524,1713,173305
36073,1,17412,16007,1405,8.1,62900,3870,11996,8185,5102,40343,5587,12126,313,50,238,18314
36075,1,53129,48538,4591,8.6,59335,8026,29469,25210,17608,117525,21143,32138,697,284,590,54852
36077,1,27159,25275,1884,6.9,68962,3093,12049,10821,13287,58524,12975,14382,409,136,321,28223
36079,1,51374,47668,3706,7.2,112167,4791,17647,17730,30981,97668,24953,29283,411,162,509,55318
36081,1,1142439,1000240,142199,12.4,80180,293903,435024,370386,598760,2405464,569038,212665,2483,2969,7343,794498
36083,1,82193,76661,5532,6.7,80040,8252,28882,34015,42276,161130,40969,36500,1016,374,1103,79962
36085,1,221561,198280,23281,10.5,91582,39597,101569,80673,123573,495747,90997,123320,909,662,2011,217899
36087,1,156371,144312,12059,7.7,99839,25658,45118,49959,87859,338329,75802,73186,650,323,1420,151381
36089,1,43848,40394,3454,7.9,59451,7752,24038,21858,17541,108505,19361,24608,437,201,660,45267
36091,1,121791,113947,7844,6.4,93341,9952,42049,44945,75452,235509,68471,61305,1737,511,1532,133556
36093,1,78486,72431,6055,7.7,74206,8967,28899,33527,38542,158061,42465,30741,923,352,900,75381
36095,1,14831,13817,1014,6.8,67975,1729,7457,6982,5393,29714,5345,9903,282,75,205,15810
36097,1,8208,7524,684,8.3,63233,1219,4425,4237,3358,17898,3903,5621,130,51,94,9799
36099,1,15568,14350,1218,7.8,65354,3678,7706,6752,5770,33814,6914,8329,193,73,209,15718
36101,1,42794,39426,3368,7.9,60558,5433,23124,20414,17225,93584,15790,29474,570,164,518,46516
36103,1,781583,718094,63489,8.1,119253,101857,265633,276192,426656,1525920,368000,375821,4458,2066,7532,757877
36105,1,36583,33513,3070,8.4,63733,6884,16623,15701,16553,78624,15489,18665,247,123,608,35132
36107,1,22602,20901,1701,7.5,76197,2771,12406,10558,8855,48455,9634,14791,416,92,237,25170
36109,1,49677,46779,2898,5.8,72025,2535,10041,12491,36447,105740,33619,11096,474,365,494,46048
36111,1,87714,80952,6762,7.7,79340,11085,37570,35902,49768,181851,57970,37590,879,618,1103,98160
36113,1,31475,28911,2564,8.1,69849,4012,13854,14451,17109,65737,17642,17699,424,204,425,36394
36115,1,27668,25748,1920,6.9,67013,4382,18041,13219,9606,61302,11565,15941,340,128,282,28256
36117,1,43705,40589,3116,7.1,70917,5888,20369,22424,16691,91283,17456,26204,656,184,531,45031
36119,1,487399,448279,39120,8,108037,74220,124954,131927,366101,1004457,312371,144713,2569,1280,1332,462265
36121,1,18239,16919,1320,7.2,65526,3958,11289,8999,5406,40531,5073,13898,267,63,182,19483
36123,1,11814,11073,741,6.3,62637,2598,5849,4072,4179,24774,4219,6208,165,40,156,10788
42001,2,54836,51147,3689,6.7,76554,6866,30052,18762,18329,103852,18207,37523,810,0,0,56540
42003,2,646554,589554,57000,8.8,71973,40798,228685,227844,403248,1250578,429065,282324,8344,0,0,719733
42005,2,31823,28779,3044,9.6,57609,3365,23541,12448,9146,65558,8457,27489,424,0,0,36370
42007,2,83965,75522,8443,10.1,67135,6043,44648,37384,34755,168215,38122,54759,1241,0,0,94122
42009,2,24031,21924,2107,8.8,55517,3505,16890,8808,5707,47577,4367,23025,182,0,0,27574
42011,2,215733,195790,19943,9.2,72157,34165,108364,71601,79881,428849,92895,109736,2909,0,0,205540
42013,2,60263,55160,5103,8.5,57884,5911,39403,20848,20990,122822,17636,45306,653,0,0,63595
42015,2,28581,26491,2090,7.3,63529,3801,19788,9931,9023,59967,8046,21600,513,0,0,30159
42017,2,344795,316977,27818,8.1,105202,23823,128441,109156,204982,646538,204712,187367,4155,0,0,396234
42019,2,99766,92204,7562,7.6,81507,6084,44904,35289,54328,193763,37508,74359,1438,0,0,113305
42021,2,57178,51879,5299,9.3,54612,6783,42090,24501,21907,133472,21730,48085,759,0,0,70574
42023,2,2070,1818,252,12.2,50338,315,1748,1037,393,4547,634,1771,29,0,0,2434
42025,2,32070,29015,3055,9.5,64766,4694,21447,13213,8840,64749,11212,21984,433,0,0,33629
42027,2,77923,73508,4415,5.7,67654,5293,27750,19135,45345,158172,40055,36372,1066,0,0,77493
42029,2,286398,268513,17885,6.2,117326,18906,71857,70604,210289,534413,182372,128565,3565,0,0,314502
42031,2,17056,15681,1375,8.1,57844,2283,11650,5526,5907,37241,4678,14578,237,0,0,19493
42033,2,36272,33032,3240,8.9,59318,5633,27368,14071,11810,80562,9673,29203,546,0,0,39422
42035,2,17937,16415,1522,8.5,58892,2581,11446,5656,5324,37450,5502,11902,221,0,0,17625
42037,2,33909,31233,2676,7.9,59127,3591,19655,9686,10906,64727,10532,20098,541,0,0,31171
42039,2,38798,35441,3357,8.7,54774,5279,27538,13519,12484,83938,12924,28559,521,0,0,42004
42041,2,133628,124976,8652,6.5,81295,12049,56350,42807,72797,259469,62245,77212,2138,0,0,141595
42043,2,147089,134329,12760,8.7,67813,17000,64001,50105,68415,286401,78983,66408,1977,0,0,147368
42045,2,300050,273188,26862,9,83856,25164,106929,97330,163404,576830,206423,118532,2976,0,0,327931
42047,2,15462,13629,1833,11.9,57570,1477,11062,5676,4538,30990,4522,12140,244,0,0,16906
42049,2,129162,116813,12349,9.6,56489,13831,69954,47426,55240,270876,68286,66869,1928,0,0,137083
42051,2,56983,50439,6544,11.5,51494,9402,44466,22031,17723,128804,20444,41227,468,0,0,62139
42053,2,1820,1633,187,10.3,43362,854,3068,1306,720,6973,728,1882,36,0,0,2646
42055,2,78816,72991,5825,7.4,73709,10317,47881,25846,26471,155932,22422,57245,1116,0,0,80783
42057,2,7525,6650,875,11.6,64405,1138,5139,2533,1820,14556,1085,6824,68,0,0,7977
42059,2,16206,14669,1537,9.5,63082,2552,11223,6198,5342,35954,4911,12579,179,0,0,17669
42061,2,19883,17845,2038,10.2,58170,2960,15944,7137,5790,44092,5445,17061,286,0,0,22792
42063,2,38406,35017,3389,8.8,53040,4158,21854,13794,14662,83246,12634,28089,475,0,0,41198
42065,2,20431,18687,1744,8.5,54248,2709,16256,7022,5509,44492,4527,17960,337,0,0,22824
42067,2,12795,11903,892,7,62661,2752,8058,3160,2465,23509,2253,9649,141,0,0,12043
42069,2,105371,95479,9892,9.4,61168,12732,53977,39734,45914,215896,61991,52334,1085,0,0,115410
42071,2,286662,265741,20921,7.3,82434,48520,130089,81986,116943,552984,115847,160209,4183,0,0,280239
42073,2,40906,36779,4127,10.1,58730,4689,26610,16214,14016,86070,15978,29597,501,0,0,46076
42075,2,73275,67617,5658,7.7,69490,11845,41242,22265,23733,143257,23932,46731,989,0,0,71652
42077,2,195426,177177,18249,9.3,72590,25012,82865,63793,86009,374557,98288,84259,2166,0,0,184713
42079,2,159928,142862,17066,10.7,59358,21644,86188,66289,57994,325594,64873,86929,1519,0,0,153321
42081,2,56961,52070,4891,8.6,61729,7090,30753,22308,19836,114188,16971,41462,821,0,0,59254
42083,2,17377,15717,1660,9.6,58112,2141,13390,7248,5819,40432,5098,14083,285,0,0,19466
42085,2,48855,44240,4615,9.4,57702,6844,31854,20277,19738,110652,21067,36143,744,0,0,57954
42087,2,21409,19646,1763,8.2,57096,5058,15703,7280,4280,46143,4603,16670,229,0,0,21502
42089,2,83027,73723,9304,11.2,79824,11596,42466,32297,33384,168327,44060,38726,1043,0,0,83829
42091,2,456734,422938,33796,7.4,106743,30977,133819,125403,317581,856553,319511,185460,5186,0,0,510157
42093,2,9137,8584,553,6.1,76229,952,4501,2948,4856,18136,3771,5844,156,0,0,9771
42095,2,161933,147814,14119,8.7,75468,16308,73087,57660,74974,312951,85087,83854,2001,0,0,170942
42097,2,42943,39016,3927,9.1,57822,6656,31760,15451,12778,91647,12677,28952,654,0,0,42283
42099,2,24432,22821,1611,6.6,67834,3364,15386,8272,6176,45842,5950,18293,409,0,0,24652
42101,2,738204,648448,89756,12.2,56385,137248,324642,249868,377211,1603797,603790,132740,4847,0,0,741377
42103,2,25490,22873,2617,10.3,81886,3074,15174,13938,13064,58535,13019,19213,322,0,0,32554
42105,2,7311,6648,663,9.1,53935,1094,5577,3216,2036,16396,1726,7239,99,0,0,9064
42107,2,67209,61142,6067,9,63680,10425,46949,26904,19924,143049,20727,48871,1005,0,0,70603
42109,2,19722,18255,1467,7.4,62382,4184,11461,5314,5714,39736,4910,13983,247,0,0,19140
42111,2,33260,30203,3057,9.2,50516,5463,27087,12887,9495,74129,8654,31466,423,0,0,40543
42113,2,2623,2405,218,8.3,59957,399,2388,1126,963,5840,921,2619,55,0,0,3595
42115,2,20106,18672,1434,7.1,63413,2438,13239,7272,5654,38434,6236,15207,309,0,0,21752
42117,2,19175,17489,1686,8.8,61190,2366,12863,7895,6324,41045,4955,15742,378,0,0,21075
42119,2,19633,18346,1287,6.6,65521,3883,12052,5521,7706,42681,7475,12356,284,0,0,20115
42121,2,22488,20536,1952,8.7,52449,3150,17254,9490,7312,50454,7585,18569,374,0,0,26528
42123,2,18932,17439,1493,7.9,56707,1714,13080,7890,5484,38587,6066,14237,347,0,0,20650
42125,2,107178,97382,9796,9.1,70751,9054,53562,39568,49842,209349,45088,72080,1310,0,0,118478
42127,2,22465,20462,2003,8.9,56973,3381,17083,10470,8516,51155,9191,18637,261,0,0,28089
42129,2,179407,163499,15908,8.9,71152,12126,92727,74603,83845,354663,72129,130218,2350,0,0,204697
42131,2,13388,12290,1098,8.2,67643,1423,8581,4760,4044,26069,4704,9936,218,0,0,14858
42133,2,237305,218784,18521,7.8,79938,27804,122457,84239,87663,456438,88114,146733,3624,0,0,238471
8001,3,269887,249638,20249,7.5,89849,51641,98198,97726,96383,519572,134202,95657,3731,744,2406,236740
8003,3,8297,7806,491,5.9,53942,1089,2520,3454,2928,16376,3759,3813,90,23,123,7808
8005,3,359400,333007,26393,7.3,93525,36365,85041,124135,207006,655070,213607,127323,5423,926,2904,350183
8007,3,7028,6534,494,7,66025,506,2617,3323,4426,13359,3738,5189,120,19,78,9144
8009,3,2081,2035,46,2.2,47147,354,711,827,600,3506,317,1867,26,3,12,2225
8011,3,1786,1715,71,4,42958,815,1703,1200,614,5650,732,1503,15,6,18,2274
8013,3,190477,179548,10929,5.7,96584,9803,24148,45128,140031,330758,159089,42501,2539,697,1285,206111
8014,3,40347,37893,2454,6.1,114746,2092,6724,13236,31270,74112,29077,16295,772,104,384,46632
8015,3,9627,9058,569,5.9,75151,856,3469,4317,7193,19476,7160,6222,189,46,101,13718
8017,3,1082,1058,24,2.2,62891,103,336,500,303,1748,131,993,6,0,6,1136
8019,3,5954,5473,481,8.1,90350,406,1304,1555,4200,9397,3604,2754,113,23,54,6548
8021,3,3997,3788,209,5.2,49141,552,1673,1644,1174,7461,1959,2286,34,9,45,4333
8023,3,1809,1687,122,6.7,36970,278,801,859,748,3499,1311,741,15,4,23,2094
8025,3,1438,1364,74,5.1,49785,724,1972,1010,537,5922,437,1271,22,0,20,1750
8027,3,2082,1985,97,4.7,67766,143,838,1629,1422,4704,1112,2474,29,5,15,3635
8029,3,14132,13267,865,6.1,53910,2083,8449,6678,5947,31196,5887,13081,218,45,139,19370
8031,3,419155,387125,32030,7.6,87619,45478,77626,110242,292761,715522,313293,71618,4870,1230,2818,393829
8033,3,1133,1061,72,6.4,56695,75,760,646,486,2326,341,1089,5,1,13,1449
8035,3,195819,185433,10386,5.3,140768,5049,29025,64004,152978,357978,104653,121270,3715,432,1535,231605
8037,3,35321,32191,3130,8.9,105813,2728,7077,10049,20069,55731,18588,9892,377,78,205,29140
8039,3,14979,14334,645,4.3,120394,626,5028,7060,6898,26062,4490,14027,306,31,129,18983
8041,3,341374,318334,23040,6.7,82248,23818,95538,167170,200118,730395,161941,202828,9264,1135,3683,378851
8043,3,15192,14099,1093,7.2,57275,3627,15346,11371,8084,48939,7369,17517,397,59,215,25557
8045,3,31348,29365,1983,6.3,86566,4792,10161,12661,13854,61685,15427,14717,424,99,237,30904
8047,3,3923,3500,423,10.8,89805,283,678,1505,2311,5808,2223,1833,70,17,43,4186
8049,3,9228,8502,726,7.9,88059,692,3061,3390,5126,15717,4710,4883,174,31,72,9870
8051,3,11277,10582,695,6.2,88855,197,2101,2349,6761,16918,7132,3735,210,39,74,11190
8053,3,422,406,16,3.8,70675,0,96,317,367,788,255,353,10,1,13,632
8055,3,2591,2362,229,8.8,47968,375,1331,2151,1431,6820,2076,2203,71,12,44,4406
8057,3,933,897,36,3.9,62439,170,303,319,301,1379,175,681,12,2,6,876
8059,3,327035,305322,21713,6.6,102413,19320,79120,111873,216684,582910,218396,148417,6394,1089,3062,377358
8061,3,952,931,21,2.2,55573,86,258,406,195,1446,98,795,9,0,1,903
8063,3,4206,4096,110,2.6,56720,520,1444,1885,870,7087,662,3144,34,2,29,3871
8065,3,4795,4432,363,7.6,71326,418,1167,1213,2391,7436,2303,1497,101,23,37,3961
8067,3,30869,28885,1984,6.4,79358,1469,8584,11493,19307,55638,20548,14233,530,128,228,35667
8069,3,200965,189141,11824,5.9,88338,8186,41000,68481,126142,359066,126120,91489,4089,727,1913,224338
8071,3,6386,5945,441,6.9,49097,1106,3065,4641,1839,14555,3497,4284,86,17,77,7961
8073,3,2337,2240,97,4.2,54345,500,1728,886,1078,5675,470,2135,26,1,19,2651
8075,3,10853,10381,472,4.3,58976,1610,5723,4959,2866,21528,2218,8087,139,16,72,10532
8077,3,74581,69397,5184,7,69578,8499,31632,36954,34032,155703,31536,56894,1306,188,699,90623
8079,3,463,438,25,5.4,69794,15,104,192,373,865,317,427,3,0,9,756
8081,3,7147,6746,401,5.6,69088,769,3421,2963,1902,13292,1203,5670,97,7,49,7026
8083,3,12596,11755,841,6.7,58345,1725,5508,5969,5880,25849,5836,9306,192,33,133,15500
8085,3,21446,20125,1321,6.2,65736,2831,10520,9116,8853,42679,7687,16770,285,49,131,24922
8087,3,15878,15083,795,5,65599,2933,6179,6591,3346,29111,3876,9593,151,26,98,13744
8089,3,8165,7698,467,5.7,46607,1361,4034,4840,2370,18690,3605,5756,88,16,111,9576
8091,3,2475,2289,186,7.5,90837,115,609,1251,2315,4874,2365,1577,46,12,20,4020
8093,3,10954,10366,588,5.4,88020,389,2900,5539,5603,17390,4903,6991,238,56,103,12291
8095,3,2457,2395,62,2.5,68571,286,958,999,774,4530,486,1958,24,7,10,2485
8097,3,11101,10013,1088,9.8,111291,402,1501,2924,8570,17358,8989,2780,94,41,53,11957
8099,3,6107,5854,253,4.1,48832,1158,2230,2764,1428,11999,1458,4008,39,9,47,5561
8101,3,76006,70203,5803,7.6,58314,11218,35305,41622,29409,168162,43772,42252,1200,205,872,88301
8103,3,2900,2753,147,5.1,71630,293,1324,1569,1154,6529,561,3061,42,3,24,3691
8105,3,5348,4991,357,6.7,56877,882,2234,2589,2576,11539,2495,3660,66,11,73,6305
8107,3,15896,14723,1173,7.4,104407,657,3346,5042,9847,24829,10582,5925,236,37,96,16876
8109,3,3399,3175,224,6.6,45048,594,1331,1581,1554,6368,1884,1413,39,13,40,3389
8111,3,518,486,32,6.2,62732,0,161,134,264,705,342,202,7,2,9,562
8113,3,5414,4863,551,10.2,94387,108,862,1230,4123,8072,3924,1136,52,14,21,5147
8115,3,1153,1115,38,3.3,46980,145,424,634,454,2404,301,1121,8,1,15,1446
8117,3,21925,19904,2021,9.2,96984,1218,4095,6106,12604,31055,12631,5322,353,60,113,18479
8119,3,12812,11919,893,7,81466,753,4372,7056,7412,24710,5278,11241,267,25,128,16939
8121,3,2841,2758,83,2.9,61492,353,964,1246,849,4817,369,2595,25,5,14,3008
8123,3,164591,153885,10706,6.5,90770,25735,54520,71452,71248,328981,66060,96145,2895,340,1534,166974
8125,3,5547,5402,145,2.6,56075,1072,1765,2055,1716,9988,785,4107,52,2,35,4981
23001,4,54016,51281,2735,5.1,62848,5888,28414,25524,18317,111139,27617,29268,1105,603,768,59361
23003,4,29067,27574,1493,5.1,51562,4427,19467,15079,11233,67105,13956,21080,421,233,520,36210
23005,4,159948,152096,7852,4.9,88571,7861,45480,54148,117212,303069,128759,59584,2957,2154,2460,195914
23007,4,13661,12886,775,5.7,52159,1339,7726,6182,6504,29456,8069,8754,353,183,240,17599
23009,4,27591,26104,1487,5.4,63879,2158,12203,11651,16754,55478,19369,14982,549,380,396,35676
23011,4,61060,58248,2812,4.6,63191,4685,30834,27212,28043,123642,34902,34721,1406,730,856,72615
23013,4,19470,18488,982,5,65615,1792,9446,7891,12283,40607,15110,9982,355,248,337,26032
23015,4,16309,15504,805,4.9,72657,1423,8236,6929,11076,35237,12684,10256,420,199,298,23857
23017,4,25646,24072,1574,6.1,58842,3301,18421,12897,10050,57777,14755,17698,650,347,360,33810
23019,4,73858,70142,3716,5,60761,6062,35944,35059,33782,152199,37713,44825,1854,746,995,86133
23021,4,7125,6764,361,5.1,52529,1077,5041,4406,2935,16800,3517,6143,173,60,103,9996
23023,4,19152,18309,843,4.4,73587,1477,7841,7324,11619,36699,13528,9755,473,249,275,24280
23025,4,21910,20557,1353,6.2,55093,2721,15769,11847,7732,50477,10199,16644,466,230,334,27873
23027,4,19888,18938,950,4.8,63619,1886,9472,8169,10431,39607,12345,11196,402,347,276,24566
23029,4,13285,12510,775,5.8,55381,2051,8062,7304,5778,31095,6761,10194,232,143,240,17570
23031,4,109992,104512,5480,5,81315,7883,47887,49411,55574,211972,71189,54817,2189,1259,1588,131042
25001,5,110383,98557,11826,10.7,89774,6584,39009,50135,86284,228996,91994,55311,1856,638,1713,151512
25003,5,61441,55388,6053,9.9,71102,6037,28052,25035,36639,129026,51705,18064,927,465,610,71771
25005,5,300281,268029,32252,10.7,80702,56274,123280,104302,125347,579200,153377,119872,3667,1427,3021,281364
25007,5,9089,8151,938,10.3,89136,758,3526,3843,7817,20600,9914,2631,138,82,108,12873
25009,5,424418,380823,43595,10.3,92118,55892,138451,132657,239863,809829,267198,144837,5356,1899,5309,424599
25011,5,40030,36877,3153,7.9,69929,3292,14715,14327,21828,71029,30030,11201,692,380,700,43003
25013,5,226395,201794,24601,10.9,64030,41017,98467,87869,92525,465825,125948,87318,2971,1166,3390,220793
25015,5,88543,81884,6659,7.5,81878,4515,20363,23998,51116,162308,63362,22281,1086,768,835,88332
25017,5,902368,833448,68920,7.6,118494,75422,200893,194935,677768,1632002,617196,226956,10649,4484,10062,869347
25019,5,7169,6326,843,11.8,107613,419,1676,2254,6101,14255,5241,1914,81,41,61,7338
25021,5,390646,356557,34089,8.7,115770,28926,89085,99190,295617,725981,273312,125294,5191,1753,5492,411042
25023,5,283815,255751,28064,9.9,102647,25446,99548,96156,155019,530819,173630,121227,4310,1324,3379,303870
25025,5,456876,410348,46528,10.2,84548,68278,112975,94815,274881,797936,270522,58613,2959,1695,3451,337240
25027,5,442803,402081,40722,9.2,86078,52349,159762,155204,235094,862111,248773,171683,7130,2536,4799,434921
6001,6,818093,745114,72979,8.9,121190,132081,188746,256640,612435,1682353,617659,136309,6295,4664,5143,770070
6003,6,514,454,60,11.7,71646,44,218,420,496,1204,476,244,15,4,2,741
6005,6,14474,13118,1356,9.4,74356,2936,8604,13669,7295,40474,8153,13585,349,110,107,22304
6007,6,93234,84510,8724,9.4,63353,13179,30325,49524,43218,211632,50426,48730,1774,507,629,102066
6009,6,21353,19688,1665,7.8,73175,2375,11387,14013,7919,45292,10046,16518,359,125,116,27164
6011,6,10622,8877,1745,16.4,72963,3745,4138,4058,2029,21839,3239,4559,81,25,57,7961
6013,6,546310,497173,49137,9,119667,84241,143600,218931,364216,1165927,416386,152877,6116,2618,3319,581316
6015,6,9429,8519,910,9.7,57297,2870,5078,7741,4164,27743,4677,6461,150,78,87,11453
6017,6,90888,83202,7686,8.5,104859,7210,29405,50152,55065,191185,51621,61838,1871,460,369,116159
6019,6,445633,393753,51880,11.6,68693,135093,145274,200252,150566,1008654,193025,164464,4031,1474,1923,364917
6021,6,12760,11612,1148,9,63247,3665,5853,6038,3070,28917,3995,7063,128,34,77,11297
6023,6,59754,54656,5098,8.5,57660,7930,21726,33841,29998,136463,44768,21770,1132,625,548,68843
6025,6,71538,55364,16174,22.6,55523,31132,28625,33021,17804,179702,34678,20847,390,234,594,56743
6027,6,8319,7656,663,8,64332,1000,3809,4666,4422,19016,4634,4620,128,45,57,9484
6029,6,386344,336819,49525,12.8,65981,127772,154648,172599,103791,909235,133366,164484,3942,1074,2426,305292
6031,6,57004,50252,6752,11.8,63683,24617,26837,30792,13299,152486,18699,24072,604,125,361,43861
6033,6,28458,25682,2776,9.8,51848,6320,14112,19820,8683,68163,14941,13123,374,207,167,28812
6035,6,9412,8718,694,7.4,60308,4865,7067,8312,3082,32730,2799,8970,141,31,46,11987
6037,6,4974673,4363337,611336,12.3,82455,1336557,1402989,1720679,2451744,10014009,3028885,1145530,35452,21660,32838,4264365
6039,6,61945,55065,6880,11.1,71273,27033,23966,32120,17180,156255,23168,29378,621,217,348,53732
6041,6,130647,121786,8861,6.8,135960,13801,20478,40830,114844,262321,128288,24612,1536,724,670,155830
6043,6,7203,6402,801,11.1,66513,1276,2839,5144,4133,17131,4088,5950,155,39,48,10280
6045,6,37159,33785,3374,9.1,63621,9021,17033,22889,16248,91601,28782,13267,591,394,306,43340
6047,6,115496,101032,14464,12.5,65253,48206,49187,48747,25346,281202,48991,39397,941,388,837,90554
6049,6,3181,2901,280,8.8,51166,776,1772,2409,1481,8700,1150,3109,39,15,30,4343
6051,6,7883,6932,951,12.1,79105,1008,1699,3631,3312,13195,4013,2513,126,42,44,6738
6053,6,214206,190346,23860,11.1,91450,74469,57630,69303,77872,439035,113953,46299,1820,749,1102,163923
6055,6,68890,62735,6155,8.9,98580,14962,17073,28118,37684,138019,49817,20676,914,310,433,72150
6057,6,46778,42981,3797,8.1,80069,3907,16217,27840,31263,102241,36359,26779,919,345,348,64750
6059,6,1563811,1424333,139478,8.9,106047,287900,379386,580793,957048,3186989,814009,676498,17325,5819,8462,1522113
6061,6,187003,173074,13929,7.4,106114,14825,50097,101895,125284,404739,106869,122488,3948,779,1000,235084
6063,6,7628,6787,841,11,66725,915,4313,6868,3112,19790,4561,6445,153,39,62,11260
6065,6,1118880,1006179,112701,10.1,86350,270971,427314,517283,407007,2418185,528340,449144,9970,3372,6330,997156
6067,6,710803,643643,67160,9.4,83985,126456,238395,360417,361826,1585055,440808,259405,9770,3254,5203,718440
6069,6,32548,29328,3220,9.9,106560,7283,11429,15011,9727,64209,17628,10590,345,91,176,28830
6071,6,972807,879264,93543,9.6,78779,251976,391633,441352,322278,2181654,455859,366257,8791,3619,6604,841130
6073,6,1544298,1399329,144969,9.4,98365,249203,407232,657624,955076,3298634,964650,600094,21386,7421,8592,1602143
6075,6,559015,514683,44332,7.9,135366,74971,75776,116140,402351,873965,378156,56417,3299,2781,2900,443553
6077,6,334765,296348,38417,11.5,84738,98795,140117,157023,108910,779233,161137,121098,2929,1064,2264,288492
6079,6,134154,123695,10459,7.8,88578,15656,34582,65421,74574,282424,88310,67436,2408,794,766,159714
6081,6,438610,408287,30323,6.9,143795,52659,80468,121768,288258,764442,291496,75584,3554,1595,2022,374251
6083,6,218513,200743,17770,8.1,89334,49743,47074,81757,99882,448229,129963,65736,2416,939,1285,200339
6085,6,1023652,950754,72898,7.1,150502,142839,180768,266993,747586,1936259,617967,214612,9131,4040,4991,850741
6087,6,134838,121753,13085,9.7,99256,20676,27325,53418,78268,270861,114246,26937,1704,1062,888,144837
6089,6,73261,66741,6520,8.9,66312,10229,34012,54735,30011,182155,30000,60789,1277,368,496,92930
6091,6,1286,1179,107,8.3,63939,188,740,723,533,3236,730,1142,27,13,19,1931
6093,6,16967,15269,1698,10,51593,2873,8373,13508,7429,44076,9593,13290,318,116,155,23472
6095,6,201823,182148,19675,9.7,92711,34788,76361,113757,89064,453491,131639,69306,2475,958,1499,205877
6097,6,245738,225996,19742,8,96312,39389,65960,114487,133865,488863,199938,61825,3418,1499,1637,268317
6099,6,242015,215474,26541,11,75249,70118,103475,111518,67474,552878,105841,104145,2494,742,1732,214954
6101,6,45513,40347,5166,11.4,66071,13814,16102,22163,13189,99633,17367,24375,521,136,245,42644
6103,6,25674,23343,2331,9.1,58900,6165,12929,17373,8467,65829,8911,19141,403,90,186,28731
6105,6,4541,4168,373,8.2,49485,643,4973,4461,2219,16112,2851,3188,117,50,53,6259
6107,6,202466,175249,27217,13.4,64313,72985,76798,89859,45102,473117,66105,77579,1498,483,1220,146885
6109,6,20184,18045,2139,10.6,70108,2717,10532,18635,10038,55620,11978,17689,439,145,157,30408
6111,6,410076,374275,35801,8.7,101981,85061,112500,174417,206218,843843,251388,162207,5069,1766,2395,422825
6113,6,104826,96690,8136,7.8,82359,15097,22852,34898,57432,216403,67598,27292,1206,547,651,97294
6115,6,30713,27444,3269,10.6,63626,8120,14344,21000,9474,81575,11230,17676,510,124,256,29796
48001,7,22985,21676,1309,5.7,60800,5851,15884,13945,6069,57922,3955,15110,134,22,6,19227
48003,7,9173,8420,753,8.2,68998,2567,3577,2741,2214,18610,850,4943,60,10,0,5863
48005,7,35364,32661,2703,7.6,56825,8603,19383,18659,10248,86395,9143,25076,274,75,6,34574
48007,7,9149,8383,766,8.4,60523,1643,6152,6107,5307,23830,2916,9239,103,31,1,12290
48009,7,3962,3753,209,5.3,72062,551,2254,1775,1541,8560,446,4300,45,4,1,4796
